SITE CODE,Location Name,Latitude/Northings,Longitude/Eastings,EPSG Code,Survey Date,Survey Time,Site observations,Survey duration (hrs),Sampler group name *,Number in sampler group,No. of volunteers testing,Water type,Rainfall in last 7 days,Rainfall (mm) (optional),Water level or flow,Rate of Flow (optional),Air Temperature (deg C),Water Temperature (deg C),pH (pH units),Electrical Conductivity (µS/cm),Turbidity (NTUs),Available Phosphate (mg/L),Dissolved Oxygen (mg/L),Dissolved Oxygen (% sat),Faecal Coliforms (CFU/100mL),E. coli (CFU/100mL),Total Phosphate (mg/L),Nitrates (mg/L as N),Did you calibrate your EC meter?,Water Testing Notes/Issues,Photos uploaded,Verifyed by Ingrid,,,,,,,,,,,,,,,,,,
B1,"Bellinger B1 - Bellinger River, downstream of old Brinerville Farm, Brinerville (New England NP)",-30.4669,152.57861,"WGS 84, Lat/Lon",10/10/17,1:20 PM,"Flow has increased, no algae sited, clear water, overcast. ",0.5,Bellingen Riverwatch,2,0,Fresh,Moderate,,,,22,20,7,80,7,0.05,7.9,87,,,,,true,,Yes,,,,,,,,,,,,,,,,,,,
B1,"Bellinger B1 - Bellinger River, downstream of old Brinerville Farm, Brinerville (New England NP)",-30.48153,152.87105,"WGS 84, Lat/Lon",14/11/17,9:35 AM,"Sunny. Sound of Marsh frogs, School of bass, Banks full of Privet, Lots of fallen trees in water. Water Striders, Blue Dragon fly's, Tiny School Fish, Lots of water weeds, Also a decent amount of Algae on water weeds and rocks.  ",1,Bellingen Riverwatch,1,2,Fresh,Light,2,Low,,24,22,7.5,100,7,0.21,7.5,86,,,,,true,"Phosphate is High, and Kalang 2 also had phosphate levels that had risen since last month. Worth Looking in to. and trying to address issues behind it. ",,,,,,,,,,,,,,,,,,,,
B1,"Bellinger B1 - Bellinger River, downstream of old Brinerville Farm, Brinerville (New England NP)",-30.4669,152.57861,"WGS 84, Lat/Lon",12/12/17,10:30 AM,"Warm sunny day, good flow, clear water, no visible pollution",1,Bellingen Riverwatch,2,0,Fresh,Moderate,,Medium,,26,23,7,80,7,0.04,8,93,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
B1,"Bellinger B1 - Bellinger River, downstream of old Brinerville Farm, Brinerville (New England NP)",-30.4669,152.57861,"WGS 84, Lat/Lon",10/1/18,11:40 AM,,,Bellingen Riverwatch,1,1,Fresh,Light,,Medium,,,26,7,70,7,0.07,6.5,80,,,,,true,,,,,,,,,,,,,,,,,,,,,
B1,"Bellinger B1 - Bellinger River, downstream of old Brinerville Farm, Brinerville (New England NP)",-30.4669,152.57861,"WGS 84, Lat/Lon",13/2/18,12:45 PM,"Steady flow, hot humid conditions, clear water",,Bellingen Riverwatch,1,1,Fresh,Nil,,Medium,,,26,7,70,7,0.06,6.4,79,,,,,true,,,,,,,,,,,,,,,,,,,,,
B1,"Bellinger B1 - Bellinger River, downstream of old Brinerville Farm, Brinerville (New England NP)",-30.4669,152.57861,"WGS 84, Lat/Lon",1/4/18,12:30 PM,,,Bellingen Riverwatch,1,1,Fresh,Light,,Medium,,,19,7,80,7,0.09,8,86,,,,,true,,,,,,,,,,,,,,,,,,,,,
B1,"Bellinger B1 - Bellinger River, downstream of old Brinerville Farm, Brinerville (New England NP)",-30.4669,152.57861,"WGS 84, Lat/Lon",10/10/18,12:00 PM,,,Bellingen Riverwatch,1,1,Fresh,Light,,Medium,,26,19,7,70,7,0.02,7.9,85,,,,,false,,,,,,,,,,,,,,,,,,,,,
B1,"Bellinger B1 - Bellinger River, downstream of old Brinerville Farm, Brinerville (New England NP)",-30.4669,152.57861,"WGS 84, Lat/Lon",14/11/18,10:36 AM,Clear normal flows,,Bellingen Riverwatch,1,1,Fresh,Light,,Medium,,,21,7,,7,0.04,7.2,81,,,,,false,No EC battery error on instrument,,,,,,,,,,,,,,,,,,,,
B1,"Bellinger B1 - Bellinger River, downstream of old Brinerville Farm, Brinerville (New England NP)",-30.4669,152.57861,"WGS 84, Lat/Lon",18/12/18,10:26 AM,slightly above average flow - clear water,,Bellingen Riverwatch,,,Fresh,Light,,Medium,,,26,7,,7,0.02,6.1,75,,,,,false,,,,,,,,,,,,,,,,,,,,,
B1,"Bellinger B1 - Bellinger River, downstream of old Brinerville Farm, Brinerville (New England NP)",-30.4669,152.57861,"WGS 84, Lat/Lon",12/2/19,10:23 AM,,,Bellingen Riverwatch,,1,Fresh,Light,,Medium,,31,25,7,100,7,0.02,6.8,82,,,,,false,,,,,,,,,,,,,,,,,,,,,
B1,"Bellinger B1 - Bellinger River, downstream of old Brinerville Farm, Brinerville (New England NP)",-30.4669,152.57861,"WGS 84, Lat/Lon",13/4/19,10:41 AM,Normal river flow and conditions,,Bellingen Riverwatch,,,Fresh,Light,,Medium,,24,18,7,90,7,0.02,7.8,82,,,,,false,,,,,,,,,,,,,,,,,,,,,
B1,"Bellinger B1 - Bellinger River, downstream of old Brinerville Farm, Brinerville (New England NP)",-30.4669,152.57861,"WGS 84, Lat/Lon",14/5/19,1:37 PM,Normal river conditions,0.5,Bellingen Riverwatch,,,Fresh,Light,,Medium,,23,15,7,70,7,0,9,89,,,,,false,,,,,,,,,,,,,,,,,,,,,
B1,"Bellinger B1 - Bellinger River, downstream of old Brinerville Farm, Brinerville (New England NP)",-30.4669,152.57861,"WGS 84, Lat/Lon",17/6/19,12:00 PM,"Now flow, clear cool running water",,Bellingen Riverwatch,,,Fresh,Light,,Low,,20,14,7,80,7,0,8.2,80,,,,,false,,,,,,,,,,,,,,,,,,,,,
B1,"Bellinger B1 - Bellinger River, downstream of old Brinerville Farm, Brinerville (New England NP)",-30.4669,152.57861,,24/4/20,1:00 PM,"Beautiful fine day, no odour, no alga, good fast flow.",,Bellingen Riverwatch,1,,Fresh,,,High,,29.5,17,,70,7,0.04,6.1,63,,,,,,Tested by Gerry McGilvray. Uploaded by Amy Denshire. ,,YES,,,,,,,,,,,,,,,,,,
B1,"Bellinger B1 - Bellinger River, downstream of old Brinerville Farm, Brinerville (New England NP)",-30.4669,152.57861,,28/5/20,11:15 AM,"medium flow, fine, sunny weather. no visible pollution. Clear water (a little cloudy in pools). ",,Bellingen Riverwatch,,,Fresh,Light,,,,,16,7,90,10,0.06,6.9,70,,,,,,Tested by Gerry McGilvray. Uploaded by Amy Denshire. ,,Yes,,,,,,,,,,,,,,,,,,
B1,"Bellinger B1 - Bellinger River, downstream of old Brinerville Farm, Brinerville (New England NP)",-30.4669,152.57861,,3/7/20,1:00 PM,"Clear, sunny, good flow. ",,Bellingen Riverwatch,1,,Fresh,Light,0,High,,21,11,7,70,10,0.13,10.1,92,,,,,,Tested by Gerry McGilvray. Uploaded by Amy Denshire. ,"[https://biocollect.ala.org.au/image?id=20200703_B1_downstream.jpg, https://biocollect.ala.org.au/image?id=20200703_B1_across.jpg, https://biocollect.ala.org.au/image?id=20200703_B1_upstream.jpg]",Yes,,,,,,,,,,,,,,,,,,
B1,"Bellinger B1 - Bellinger River, downstream of old Brinerville Farm, Brinerville (New England NP)",-30.4669,152.57861,,9/9/20,1:30 PM,weather overcast. low to mid flow,,Bellingen Riverwatch,1,,Fresh,Moderate,,Low,,20,19,8,80,10,0.00,8.0,86,,,,,,,"[https://biocollect.ala.org.au/image?id=b19.jpg, https://biocollect.ala.org.au/image?id=b192.jpg, https://biocollect.ala.org.au/image?id=b193.jpg]",YES,,,,,,,,,,,,,,,,,,
B1,"Bellinger B1 - Bellinger River, downstream of old Brinerville Farm, Brinerville (New England NP)",-30.4669,152.57861,,16/10/20,12:30 PM,"quite turbid in waterholes, however clear at sampling point, sediment at bottom, fine dirt present in surrounding dry burnt landscape",,Bellingen Riverwatch,1,,,Light,,,,35,20.5,7,80,10,0.07,7,78,,,,,,,"[https://biocollect.ala.org.au/image?id=B1OCT1.jpg, https://biocollect.ala.org.au/image?id=B1Oct2.jpg, https://biocollect.ala.org.au/image?id=B1%29ct3.jpg]",YES,Fresh,,,,,,,,,,,,,,,,,
B1,"Bellinger B1 - Bellinger River, downstream of old Brinerville Farm, Brinerville (New England NP)",-30.4669,152.57861,,13/11/20,11:30 AM,"overcast, drizzle, average flow, clear water",,Bellingen Riverwatch,1,,Fresh,,,,,20,23.5,7,80,10,0.03,6,71,,,,,,Tested by Scott Filmer. Uploaded by Amy Denshire. ,,YES,,,,,,,,,,,,,,,,,,
B1,"Bellinger B1 - Bellinger River, downstream of old Brinerville Farm, Brinerville (New England NP)",-30.4669,152.57861,,8/3/21,2:10 PM,"Overcast, birds present",1,Bellingen Riverwatch,,,Fresh,Light,50,Medium,,26.7,20.8,6,70,7,0.06,8,90,,,,,Yes,,"[https://biocollect.ala.org.au/image?id=D625C280-C65F-47B3-B413-E4DE7F559775.jpeg, https://biocollect.ala.org.au/image?id=1A3C7510-A4A8-4664-8182-889C5439B40E.jpeg]",YES,,,,,,,,,,,,,,,,,,
B1,"Bellinger B1 - Bellinger River, downstream of old Brinerville Farm, Brinerville (New England NP)",-30.4669,152.57861,,19/5/21,1:00 PM,"Clear day, no pollution, good flow",0.75,Bellingen Riverwatch,2,,Fresh,Light,11,Medium,,23,15,7,60,7,0.09,9.8,97,,,,,Yes,,"[https://biocollect.ala.org.au/image?id=Upstream_B1.jpg, https://biocollect.ala.org.au/image?id=across_B1.jpg, https://biocollect.ala.org.au/image?id=Downstream_B1.jpg]",YES,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,"WGS 84, Lat/Lon",8/8/17,1:15 PM,"Sample taken about 3 m downstream from Cool Creed confluence. Weather fine, light wind. Water clear and odourless, no visible pollution Riparian vegetation and organic debris present. Pied cormorant present.",1,Bellingen Riverwatch,3,2,Fresh,Nil,,Low,,,11.5,7,80,7,0.06,10.4,96,,,,,true,,,,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,"WGS 84, Lat/Lon",12/9/17,11:28 AM,"Warm,still,partly cloudy,birds present ,willy wagtails golden whistlers wandering monarch butterflies fireflies present later that night at Orama downstream of this site ",3,Bellingen Riverwatch,2,2,Fresh,Nil,,Low,,24,16.5,7,90,7,0.06,9,93,,,,,true,Tested cool creek for available phosphate -0.12 and 12 degrees water temp tested Ballinger river 50 m up from confluence of cool ck and Bellinger river for available phosphate-0.09 and 17.5 water temp ,,,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,"WGS 84, Lat/Lon",10/10/17,11:30 AM,"Flush in river - flow has increased with recent rain, no algae sited, clear water, calm sunny day.",0.5,Bellingen Riverwatch,2,,Fresh,Moderate,,,,26,19,7,80,7,0.07,8.2,88,,,,,false,,Yes,,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,"WGS 84, Lat/Lon",14/11/17,2:00 PM,"Overcast, warm, light breeze, clear running water, no visible pollution",0.5,Bellingen Riverwatch,1,0,Fresh,Light,,Medium,,26,18.5,7,80,7,0.04,8,86,,,,,false,,,,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,"WGS 84, Lat/Lon",12/12/17,1:30 PM,"Warm sunny day,  good flow, clear running water, no pollution",0.5,Bellingen Riverwatch,2,1,Fresh,Moderate,,Medium,,33.5,25,7,70,7,0.02,8,97,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,"WGS 84, Lat/Lon",9/1/18,9:34 AM,"hot,humid,clear sky,no breeze,plenty of cicadas and midgees,blue butterflies ,weeds are taller and riparian veg taller and lush ,water very clear",1,Bellingen Riverwatch,1,1,,Light,27,Low,,31,26,7,80,7,0.1,7,86,,,,,true,,,,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,"WGS 84, Lat/Lon",14/2/18,8:00 AM,"Calm,very humid ,hot ,lots of midgets ,no cicadas ,weeds on bank above 1 m tall ,slow flow ,blood woods finished flowering .march flies present ,not many birds around .",0.5,Bellingen Riverwatch,1,1,Fresh,Light,3,Low,,25,27,7,90,10,0.16,6.3,79,,,,,true,,,,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,"WGS 84, Lat/Lon",14/3/18,8:00 AM,"Water level up and flowing well,light cloud cover ,no breeze .weeds are now 2  m tall and starting to flower .not many birds around .no flies or midgees .",0.5,Bellingen Riverwatch,1,1,Fresh,Moderate,25,Medium,,17,19.5,7,70,10,0.04,8,88,,,,,false,,,,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,"WGS 84, Lat/Lon",10/4/18,12:30 PM,,0.5,Bellingen Riverwatch,1,1,Fresh,,,,,,18.5,6.5,109,7,0.19,8.2,88,110,,,,true,Tested by Sue. Uploaded by Ingrid,,,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,"WGS 84, Lat/Lon",9/5/18,7:40 AM,"Nice flow ,clear clean water ,blue skies ,tall weeds have now died off ,small birds present ",1,Bellingen Riverwatch,1,1,,Nil,,Medium,,14,15,7,90,10,0.06,9.4,93,,,,,false,Pathway has had recent use and is easier to access river ,,,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,"WGS 84, Lat/Lon",10/7/18,12:10 PM,,,Bellingen Riverwatch,,1,,Light,,Low,,14,10,7.5,,7,0.14,10.2,90,0,,,,false,Volunteer - Sue Lennox,,,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,"WGS 84, Lat/Lon",15/8/18,10:00 AM,,,Bellingen Riverwatch,,,,Nil,,Low,,15,8,7,60,7,0.03,10,84,,,,,false,Volunteer - Sonya Kumar. ,,,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,"WGS 84, Lat/Lon",13/11/18,4:00 AM,,,Bellingen Riverwatch,,1,,Light,,,,26,22,6.8,70,7,0.06,9.8,112,,,,,false,Volunteer Sonya Kumar,,,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,"WGS 84, Lat/Lon",12/12/18,11:00 AM,,,Bellingen Riverwatch,,1,,Light,,,,24,20,6.8,60,7,0.06,6.6,73,,,,,false,Volunteer Sonya Kumar. Uploaded by Amy Denshire. ,,,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,"WGS 84, Lat/Lon",9/1/19,5:00 PM,,,Bellingen Riverwatch,,1,,,,,,,22,6.7,60,7,0.03,5.3,61,,,,,false,"Tested by Sonya, uploaded by Amy",,,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,"WGS 84, Lat/Lon",5/2/19,12:00 PM,river level is down,,Bellingen Riverwatch,,1,,Light,,,,30,24,6.5,100,7,0.17,4.1,49,,,,,false,"Tested by Sonya, uploaded by Amy ",,,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,"WGS 84, Lat/Lon",13/3/19,10:00 AM,,,Bellingen Riverwatch,,,,,,,,30,24,6.5,100,7,0.07,4.1,49,,,,,false,Tested by Sonya Kumar. Uploaded by Amy Denshire. ,,,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,"WGS 84, Lat/Lon",10/4/19,11:00 AM,,,Bellingen Riverwatch,1,1,,,,,,19,16,6.6,70,7,0.11,8.9,90,,,,,false,"Tested by Sonya Kumar, uploaded by Amy Denshire ",,,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,"WGS 84, Lat/Lon",15/5/19,12:00 PM,"Shower. Moderate flow, overcast. No visitable pollution.  ",1,Bellingen Riverwatch,1,1,,Light,,Medium,,17,13,6.5,70,7,0.05,6.1,58,,,,,false,"Tested by Sonya Kumar, uploaded by Amy Denshire. ",,,,,,,,,,,,,,,,,,,,
